run_id,entry_pc,step,pc,space,addr,value,previous_value,access_type,role_candidate,evidence_level,confidence,notes
boot_4000_20260428T082556Z,0x4000,270,0x415B,sfr,0x0083,0x1A,0x19,write,DPH,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,273,0x4113,sfr,0x00D0,0x80,0x00,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,274,0x4119,sfr,0x00D0,0x80,0x80,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,277,0x4155,sfr,0x0082,0xD8,0xD0,write,DPL,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,279,0x4159,sfr,0x00D0,0x00,0x80,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,280,0x415B,sfr,0x0083,0x1B,0x1A,write,DPH,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,283,0x4113,sfr,0x00D0,0x80,0x00,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,284,0x4119,sfr,0x00D0,0x80,0x80,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,287,0x4155,sfr,0x0082,0xE0,0xD8,write,DPL,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,289,0x4159,sfr,0x00D0,0x00,0x80,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,290,0x415B,sfr,0x0083,0x1C,0x1B,write,DPH,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,293,0x4113,sfr,0x00D0,0x80,0x00,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,294,0x4119,sfr,0x00D0,0x80,0x80,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,297,0x4155,sfr,0x0082,0xE8,0xE0,write,DPL,emulation_observed,low,boot_init_candidate
