run_id,entry_pc,step,pc,access_type,space,addr,value,role_candidate,branch_dependency,evidence_level,confidence,notes
boot_4000_20260428T080929Z,0x4000,176,0x4153,read,sfr,0x0082,0x80,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,179,0x4159,read,sfr,0x0083,0x10,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,186,0x4153,read,sfr,0x0082,0x88,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,189,0x4159,read,sfr,0x0083,0x11,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,196,0x4153,read,sfr,0x0082,0x90,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,199,0x4159,read,sfr,0x0083,0x12,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,206,0x4153,read,sfr,0x0082,0x98,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,209,0x4159,read,sfr,0x0083,0x13,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,216,0x4153,read,sfr,0x0082,0xA0,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,219,0x4159,read,sfr,0x0083,0x14,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,226,0x4153,read,sfr,0x0082,0xA8,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,229,0x4159,read,sfr,0x0083,0x15,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,236,0x4153,read,sfr,0x0082,0xB0,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,239,0x4159,read,sfr,0x0083,0x16,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,246,0x4153,read,sfr,0x0082,0xB8,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,249,0x4159,read,sfr,0x0083,0x17,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,256,0x4153,read,sfr,0x0082,0xC0,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,259,0x4159,read,sfr,0x0083,0x18,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,266,0x4153,read,sfr,0x0082,0xC8,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,269,0x4159,read,sfr,0x0083,0x19,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,276,0x4153,read,sfr,0x0082,0xD0,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,279,0x4159,read,sfr,0x0083,0x1A,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,286,0x4153,read,sfr,0x0082,0xD8,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,289,0x4159,read,sfr,0x0083,0x1B,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,296,0x4153,read,sfr,0x0082,0xE0,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,299,0x4159,read,sfr,0x0083,0x1C,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
