candidate_addr,candidate_type,reason,referenced_by,raw_bytes_or_operands,evidence_level,confidence,notes
0x485D,port_read_routine_candidate,direct_sfr_port_operand,,E5 82,static_code,low,opcode_pattern_scan
0x4860,port_read_routine_candidate,direct_sfr_port_operand,,E5 83,static_code,low,opcode_pattern_scan
0x4867,port_write_routine_candidate,direct_sfr_port_operand,,F5 83,static_code,low,opcode_pattern_scan
0x486A,port_read_routine_candidate,direct_sfr_port_operand,,E5 82,static_code,low,opcode_pattern_scan
0x48E1,port_read_routine_candidate,direct_sfr_port_operand,,E5 83,static_code,low,opcode_pattern_scan
0x48E4,port_write_routine_candidate,direct_sfr_port_operand,,F5 83,static_code,low,opcode_pattern_scan
0x48E6,port_read_routine_candidate,direct_sfr_port_operand,,E5 82,static_code,low,opcode_pattern_scan
0x48E9,port_write_routine_candidate,direct_sfr_port_operand,,F5 82,static_code,low,opcode_pattern_scan
0x48EF,port_read_routine_candidate,direct_sfr_port_operand,,E5 83,static_code,low,opcode_pattern_scan
0x48F2,port_write_routine_candidate,direct_sfr_port_operand,,F5 83,static_code,low,opcode_pattern_scan
0x48F4,port_read_routine_candidate,direct_sfr_port_operand,,E5 82,static_code,low,opcode_pattern_scan
0x48F7,port_write_routine_candidate,direct_sfr_port_operand,,F5 82,static_code,low,opcode_pattern_scan
0x490D,port_read_routine_candidate,direct_sfr_port_operand,,E5 83,static_code,low,opcode_pattern_scan
0x4910,port_write_routine_candidate,direct_sfr_port_operand,,F5 83,static_code,low,opcode_pattern_scan
0x4912,port_read_routine_candidate,direct_sfr_port_operand,,E5 82,static_code,low,opcode_pattern_scan
0x4915,port_write_routine_candidate,direct_sfr_port_operand,,F5 82,static_code,low,opcode_pattern_scan
0x4919,port_read_routine_candidate,direct_sfr_port_operand,,E5 83,static_code,low,opcode_pattern_scan
0x491C,port_write_routine_candidate,direct_sfr_port_operand,,F5 83,static_code,low,opcode_pattern_scan
0x491E,port_read_routine_candidate,direct_sfr_port_operand,,E5 82,static_code,low,opcode_pattern_scan
0x4921,port_write_routine_candidate,direct_sfr_port_operand,,F5 82,static_code,low,opcode_pattern_scan
0x54C4,port_read_routine_candidate,direct_sfr_port_operand,,E5 8E,static_code,low,opcode_pattern_scan
0x54DA,port_read_routine_candidate,direct_sfr_port_operand,,85 9A,static_code,low,opcode_pattern_scan
0x54F7,port_read_routine_candidate,direct_sfr_port_operand,,E5 83,static_code,low,opcode_pattern_scan
0x54FC,port_read_routine_candidate,direct_sfr_port_operand,,E5 82,static_code,low,opcode_pattern_scan
