file,branch,code_addr,call_type,target_addr
A04_28.PZU,A03_A04,0x948A,LCALL,0x67EB
A04_28.PZU,A03_A04,0x948E,LJMP,0x7480
A04_28.PZU,A03_A04,0x9496,LJMP,0x7980
A04_28.PZU,A03_A04,0x949C,LCALL,0x6C06
A04_28.PZU,A03_A04,0x94AD,LCALL,0x6C07
A04_28.PZU,A03_A04,0x94BC,LCALL,0x6C48
A04_28.PZU,A03_A04,0x94D2,LCALL,0x6C07
A04_28.PZU,A03_A04,0x94E4,LCALL,0x6910
A04_28.PZU,A03_A04,0x94E9,LCALL,0x9F41
A04_28.PZU,A03_A04,0x94EC,LCALL,0x9EF6
A04_28.PZU,A03_A04,0x94EF,LCALL,0x9F29
A04_28.PZU,A03_A04,0x94F8,LJMP,0xA424
A04_28.PZU,A03_A04,0x94FD,LCALL,0x68A6
A04_28.PZU,A03_A04,0x9505,LCALL,0x68A6
A04_28.PZU,A03_A04,0x950C,LCALL,0x66D4
A04_28.PZU,A03_A04,0x9518,LCALL,0x6C07
A04_28.PZU,A03_A04,0x9577,LCALL,0x6C07
A04_28.PZU,A03_A04,0x957F,LCALL,0x6868
A04_28.PZU,A03_A04,0x9588,LCALL,0x6868
A04_28.PZU,A03_A04,0x9590,LCALL,0x6868
A04_28.PZU,A03_A04,0x9593,LCALL,0x67EB
A04_28.PZU,A03_A04,0x95D9,LCALL,0x6868
A04_28.PZU,A03_A04,0x95EF,LJMP,0xA412
A04_28.PZU,A03_A04,0x95F1,LCALL,0x6C07
A04_28.PZU,A03_A04,0x95F8,LCALL,0x9E5C
A04_28.PZU,A03_A04,0x95FD,LCALL,0x960B
A04_28.PZU,A03_A04,0x9605,LCALL,0x6C07
A04_28.PZU,A03_A04,0x96A4,LCALL,0x6C57
A04_28.PZU,A03_A04,0x96AF,LCALL,0x9F29
A04_28.PZU,A03_A04,0x96B2,LCALL,0x9EBA
A04_28.PZU,A03_A04,0x96B9,LCALL,0x6C07
A04_28.PZU,A03_A04,0x96BD,LJMP,0xF012
A04_28.PZU,A03_A04,0x96BF,LCALL,0x9F40
A04_28.PZU,A03_A04,0x96C2,LCALL,0x9F4E
A04_28.PZU,A03_A04,0x96CF,LCALL,0x6C07
A04_28.PZU,A03_A04,0x96D2,LCALL,0x6AB2
A04_28.PZU,A03_A04,0x96DC,LCALL,0x9F33
A04_28.PZU,A03_A04,0x96E3,LCALL,0x9EF6
A04_28.PZU,A03_A04,0x96F2,LCALL,0x9EF6
A04_28.PZU,A03_A04,0x96FD,LCALL,0x9EF6
A04_28.PZU,A03_A04,0x9708,LCALL,0x6C52
A04_28.PZU,A03_A04,0x970F,LCALL,0x973F
A04_28.PZU,A03_A04,0x971C,LCALL,0x9EF6
A04_28.PZU,A03_A04,0x972A,LCALL,0x6C07
A04_28.PZU,A03_A04,0x972D,LCALL,0x6ABC
A04_28.PZU,A03_A04,0x9737,LCALL,0x9EF6
A04_28.PZU,A03_A04,0x977E,LJMP,0x0301
A04_28.PZU,A03_A04,0x97D8,LCALL,0x6C57
A04_28.PZU,A03_A04,0x97E3,LCALL,0x9EF6
A04_28.PZU,A03_A04,0x97E6,LCALL,0x9EE1
A04_28.PZU,A03_A04,0x97EC,LCALL,0x6C06
A04_28.PZU,A03_A04,0x97F2,LCALL,0x9F40
A04_28.PZU,A03_A04,0x97F5,LCALL,0x9F4E
A04_28.PZU,A03_A04,0x9803,LCALL,0x6C07
A04_28.PZU,A03_A04,0x9806,LCALL,0x6AB2
A04_28.PZU,A03_A04,0x980C,LJMP,0x950F
A04_28.PZU,A03_A04,0x9810,LCALL,0x9585
A04_28.PZU,A03_A04,0x9813,LCALL,0x9F33
A04_28.PZU,A03_A04,0x9818,LCALL,0x95E7
A04_28.PZU,A03_A04,0x981B,LCALL,0x9F29
A04_28.PZU,A03_A04,0x9821,LJMP,0x950F
A04_28.PZU,A03_A04,0x9824,LCALL,0x957C
A04_28.PZU,A03_A04,0x9827,LCALL,0x960B
A04_28.PZU,A03_A04,0x982D,LCALL,0x9F29
A04_28.PZU,A03_A04,0x9833,LJMP,0x950F
A04_28.PZU,A03_A04,0x9839,LCALL,0x9F29
A04_28.PZU,A03_A04,0x983F,LJMP,0x950F
A04_28.PZU,A03_A04,0x9845,LCALL,0x6C52
A04_28.PZU,A03_A04,0x984C,LCALL,0x987F
A04_28.PZU,A03_A04,0x9857,LCALL,0x95E7
A04_28.PZU,A03_A04,0x985A,LCALL,0x9F29
A04_28.PZU,A03_A04,0x9860,LJMP,0x950F
A04_28.PZU,A03_A04,0x9869,LCALL,0x6C07
A04_28.PZU,A03_A04,0x986C,LCALL,0x6ABC
A04_28.PZU,A03_A04,0x9873,LCALL,0x95E7
A04_28.PZU,A03_A04,0x9876,LCALL,0x9F29
A04_28.PZU,A03_A04,0x987C,LJMP,0x950F
A04_28.PZU,A03_A04,0x98BE,LJMP,0x0103
A04_28.PZU,A03_A04,0x98C2,LCALL,0x9E5C
A04_28.PZU,A03_A04,0x98C5,LCALL,0x957C
A04_28.PZU,A03_A04,0x98C8,LCALL,0x98D6
A04_28.PZU,A03_A04,0x98D0,LCALL,0x6C07
A04_28.PZU,A03_A04,0x98EA,LCALL,0x958D
A04_28.PZU,A03_A04,0x98F2,LCALL,0x6C06
A04_28.PZU,A03_A04,0x98F9,LCALL,0x9585
A04_28.PZU,A03_A04,0x98FE,LCALL,0x957C
A04_28.PZU,A03_A04,0x991B,LCALL,0x6C57
A04_28.PZU,A03_A04,0x9926,LCALL,0x9EF6
A04_28.PZU,A03_A04,0x9929,LCALL,0x9EE1
A04_28.PZU,A03_A04,0x992F,LCALL,0x6C06
A04_28.PZU,A03_A04,0x9935,LCALL,0x9F40
A04_28.PZU,A03_A04,0x9938,LCALL,0x9F4E
A04_28.PZU,A03_A04,0x9946,LCALL,0x6C07
A04_28.PZU,A03_A04,0x9949,LCALL,0x6AB2
A04_28.PZU,A03_A04,0x994F,LJMP,0x950F
A04_28.PZU,A03_A04,0x9955,LCALL,0x6C06
A04_28.PZU,A03_A04,0x995C,LCALL,0x9585
A04_28.PZU,A03_A04,0x995F,LCALL,0x9F33
A04_28.PZU,A03_A04,0x9964,LCALL,0x95E7
A04_28.PZU,A03_A04,0x9967,LCALL,0x9F29
A04_28.PZU,A03_A04,0x996D,LJMP,0x950F
A04_28.PZU,A03_A04,0x9970,LCALL,0x957C
A04_28.PZU,A03_A04,0x9978,LCALL,0x9F1E
A04_28.PZU,A03_A04,0x997E,LJMP,0x950F
A04_28.PZU,A03_A04,0x9984,LCALL,0x9F29
A04_28.PZU,A03_A04,0x998A,LJMP,0x950F
