file,function_addr,code_addr,block_addr,mnemonic,operands,target_addr,fallthrough_addr,xdata_addr,xdata_access_type,call_type,call_target,notes
A04_28.PZU,0x889F,0x894E,0x894B,MOV,"A,#0x04",,0x8950,,,,,
A04_28.PZU,0x889F,0x8950,0x894B,MOVX,"@DPTR,A",,0x8951,,,,,
A04_28.PZU,0x889F,0x8951,0x8951,JNB,"0xF2,+12",0x8960,0x8954,,,,,
A04_28.PZU,0x889F,0x8954,0x8954,LCALL,0x89C9,0x89C9,0x8957,,,LCALL,0x89C9,
A04_28.PZU,0x889F,0x8957,0x8954,MOV,"DPTR,#0x329C",,0x895A,0x329C,read,,,xdata
A04_28.PZU,0x889F,0x895A,0x8954,MOVX,"A,@DPTR",,0x895B,,,,,
A04_28.PZU,0x889F,0x895B,0x8954,CLR,0xE2,,0x895D,,,,,
A04_28.PZU,0x889F,0x895D,0x8954,MOVX,"@DPTR,A",,0x895E,,,,,
A04_28.PZU,0x889F,0x895E,0x8954,SJMP,+27,0x897B,,,,SJMP,0x897B,
A04_28.PZU,0x889F,0x8960,0x8960,MOV,"DPTR,#0x329D",,0x8963,,,,,
A04_28.PZU,0x889F,0x8963,0x8960,MOV,"A,#0x08",,0x8965,,,,,
A04_28.PZU,0x889F,0x8965,0x8960,MOVX,"@DPTR,A",,0x8966,,,,,
A04_28.PZU,0x889F,0x8966,0x8966,JNB,"0xF3,+12",0x8975,0x8969,,,,,
A04_28.PZU,0x889F,0x8969,0x8969,LCALL,0x89DD,0x89DD,0x896C,,,LCALL,0x89DD,
A04_28.PZU,0x889F,0x896C,0x8969,MOV,"DPTR,#0x329C",,0x896F,0x329C,read,,,xdata
A04_28.PZU,0x889F,0x896F,0x8969,MOVX,"A,@DPTR",,0x8970,,,,,
A04_28.PZU,0x889F,0x8970,0x8969,CLR,0xE3,,0x8972,,,,,
A04_28.PZU,0x889F,0x8972,0x8969,MOVX,"@DPTR,A",,0x8973,,,,,
A04_28.PZU,0x889F,0x8973,0x8969,SJMP,+6,0x897B,,,,SJMP,0x897B,
A04_28.PZU,0x889F,0x8975,0x8975,MOV,"DPTR,#0x329D",,0x8978,,,,,
A04_28.PZU,0x889F,0x8978,0x8975,UNK,,,0x8979,,,,,
A04_28.PZU,0x889F,0x8979,0x8975,MOVX,"@DPTR,A",,0x897A,,,,,
A04_28.PZU,0x889F,0x897A,0x8975,RET,,,,,,,,
A04_28.PZU,0x889F,0x897B,0x897B,MOV,"DPTR,#0x5006",,0x897E,,,,,
A04_28.PZU,0x889F,0x897E,0x897B,LCALL,0x0127,,0x8981,,,,,
A04_28.PZU,0x889F,0x8981,0x897B,MOV,"DPTR,#0x329C",,0x8984,0x329C,read,,,xdata
A04_28.PZU,0x889F,0x8984,0x897B,MOVX,"A,@DPTR",,0x8985,,,,,
A04_28.PZU,0x889F,0x8985,0x897B,SETB,0xE7,,0x8987,,,,,
A04_28.PZU,0x889F,0x8987,0x897B,MOVX,"@DPTR,A",,0x8988,,,,,
A04_28.PZU,0x889F,0x8988,0x897B,RET,,,,,,,,
