branch,file,function_addr,candidate_type,score,confidence,role_candidate,basic_block_count,internal_block_count,incoming_lcalls,call_count,xdata_read_count,xdata_write_count,movc_count,string_refs,cluster_hits,call_hub_score,writer_score,reader_score,table_score,notes
A03_A04,A04_28.PZU,0x722E,xdata_reader_candidate,41.265,high,state_update_worker,3,2,1,1,61,22,6,6,45,1.018,20.255,41.265,5.796,reader-like behavior from global features
A03_A04,A03_26.PZU,0x7339,xdata_reader_candidate,26.040,high,state_update_worker,3,2,1,1,39,16,2,2,25,1.018,13.639,26.040,2.016,reader-like behavior from global features
A03_A04,A04_28.PZU,0x497A,xdata_reader_candidate,23.912,high,dispatcher_or_router,69,68,0,99,8,5,0,0,5,23.837,24.625,23.912,15.162,reader-like behavior from global features
A03_A04,A03_26.PZU,0x497A,xdata_reader_candidate,22.862,high,dispatcher_or_router,65,64,0,90,8,5,0,0,7,22.375,23.500,22.862,13.812,reader-like behavior from global features
A03_A04,A04_28.PZU,0x950F,xdata_reader_candidate,22.334,high,state_update_worker,2,1,1,1,31,6,0,0,33,1.018,8.998,22.334,0.126,reader-like behavior from global features
A03_A04,A03_26.PZU,0x7953,xdata_reader_candidate,18.150,high,dispatcher_or_router,6,5,1,4,22,6,4,4,13,2.888,7.863,18.150,5.412,reader-like behavior from global features
A03_A04,A03_26.PZU,0x8904,xdata_reader_candidate,17.788,high,dispatcher_or_router,34,33,1,14,15,2,0,0,15,4.388,10.688,17.788,2.413,reader-like behavior from global features
A03_A04,A04_28.PZU,0xA6D9,xdata_reader_candidate,16.958,high,state_update_worker,1,0,1,16,26,4,0,0,4,2.331,4.410,16.958,2.279,reader-like behavior from global features
A03_A04,A04_28.PZU,0x497A,table_string_candidate,15.162,high,dispatcher_or_router,69,68,0,99,8,5,0,0,5,23.837,24.625,23.912,15.162,MOVC + table/string evidence
A03_A04,A03_26.PZU,0x497A,table_string_candidate,13.812,high,dispatcher_or_router,65,64,0,90,8,5,0,0,7,22.375,23.500,22.862,13.812,MOVC + table/string evidence
A03_A04,A04_28.PZU,0x722E,table_string_candidate,5.796,high,state_update_worker,3,2,1,1,61,22,6,6,45,1.018,20.255,41.265,5.796,MOVC + table/string evidence
A03_A04,A03_26.PZU,0x800B,table_string_candidate,5.637,high,dispatcher_or_router,13,12,1,21,4,2,3,1,2,11.400,5.800,6.612,5.637,MOVC + table/string evidence
A03_A04,A04_28.PZU,0x7F5B,table_string_candidate,5.487,high,dispatcher_or_router,13,12,1,20,4,2,3,1,5,10.800,6.262,6.963,5.487,MOVC + table/string evidence
A03_A04,A03_26.PZU,0x7953,table_string_candidate,5.412,high,dispatcher_or_router,6,5,1,4,22,6,4,4,13,2.888,7.863,18.150,5.412,MOVC + table/string evidence
A03_A04,A03_26.PZU,0xA900,table_string_candidate,5.263,high,dispatcher_or_router,23,22,1,33,14,0,0,0,7,16.350,8.062,16.563,5.263,MOVC + table/string evidence
A03_A04,A04_28.PZU,0xB310,table_string_candidate,5.112,high,dispatcher_or_router,21,20,1,32,13,0,0,0,4,15.750,7.100,15.100,5.112,MOVC + table/string evidence
A03_A04,A04_28.PZU,0x497A,call_hub_candidate,23.837,high,dispatcher_or_router,69,68,0,99,8,5,0,0,5,23.837,24.625,23.912,15.162,incoming/outgoing call hub in branch-local graph
A03_A04,A03_26.PZU,0x497A,call_hub_candidate,22.375,high,dispatcher_or_router,65,64,0,90,8,5,0,0,7,22.375,23.500,22.862,13.812,incoming/outgoing call hub in branch-local graph
A03_A04,A03_26.PZU,0xA900,call_hub_candidate,16.350,high,dispatcher_or_router,23,22,1,33,14,0,0,0,7,16.350,8.062,16.563,5.263,incoming/outgoing call hub in branch-local graph
A03_A04,A04_28.PZU,0xB310,call_hub_candidate,15.750,high,dispatcher_or_router,21,20,1,32,13,0,0,0,4,15.750,7.100,15.100,5.112,incoming/outgoing call hub in branch-local graph
A03_A04,A03_26.PZU,0x800B,call_hub_candidate,11.400,high,dispatcher_or_router,13,12,1,21,4,2,3,1,2,11.400,5.800,6.612,5.637,incoming/outgoing call hub in branch-local graph
A03_A04,A04_28.PZU,0x7F5B,call_hub_candidate,10.800,high,dispatcher_or_router,13,12,1,20,4,2,3,1,5,10.800,6.262,6.963,5.487,incoming/outgoing call hub in branch-local graph
A03_A04,A04_28.PZU,0x6C07,call_hub_candidate,8.930,high,unknown,1,0,35,0,0,0,0,0,0,8.930,0.114,0.085,0.237,incoming/outgoing call hub in branch-local graph
A03_A04,A03_26.PZU,0x6D2E,call_hub_candidate,8.854,high,unknown,1,0,33,0,0,0,0,0,0,8.854,0.114,0.085,0.237,incoming/outgoing call hub in branch-local graph
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,dispatcher_candidate,23.531,high,dispatcher_or_router,91,90,0,76,23,24,0,0,5,15.100,38.688,34.400,11.712,global branch-wide score; no A03/A04-only address assumptions
90CYE_DKS,90CYE04_19_DKS.PZU,0x497A,dispatcher_candidate,23.531,high,dispatcher_or_router,91,90,0,76,23,24,0,0,5,15.100,38.688,34.400,11.712,global branch-wide score; no A03/A04-only address assumptions
90CYE_DKS,90CYE03_19_DKS.PZU,0x84A6,dispatcher_candidate,11.179,high,dispatcher_or_router,19,18,2,24,13,1,0,0,3,14.375,6.500,13.925,3.912,global branch-wide score; no A03/A04-only address assumptions
90CYE_DKS,90CYE04_19_DKS.PZU,0x84A6,dispatcher_candidate,11.179,high,dispatcher_or_router,19,18,2,24,13,1,0,0,3,14.375,6.500,13.925,3.912,global branch-wide score; no A03/A04-only address assumptions
90CYE_DKS,90CYE03_19_DKS.PZU,0x7017,dispatcher_candidate,8.949,high,dispatcher_or_router,23,22,1,13,17,4,0,0,17,5.475,10.688,18.125,2.263,global branch-wide score; no A03/A04-only address assumptions
90CYE_DKS,90CYE04_19_DKS.PZU,0x7017,dispatcher_candidate,8.949,high,dispatcher_or_router,23,22,1,13,17,4,0,0,17,5.475,10.688,18.125,2.263,global branch-wide score; no A03/A04-only address assumptions
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,dispatcher_candidate,8.577,high,dispatcher_or_router,33,32,1,20,11,6,3,1,1,5.175,11.262,13.425,5.487,global branch-wide score; no A03/A04-only address assumptions
90CYE_DKS,90CYE04_19_DKS.PZU,0x737C,dispatcher_candidate,8.577,high,dispatcher_or_router,33,32,1,20,11,6,3,1,1,5.175,11.262,13.425,5.487,global branch-wide score; no A03/A04-only address assumptions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,packet_service_candidate,30.142,high,dispatcher_or_router,91,90,0,76,23,24,0,0,5,15.100,38.688,34.400,11.712,service/packet worker ranking
90CYE_DKS,90CYE04_19_DKS.PZU,0x497A,packet_service_candidate,30.142,high,dispatcher_or_router,91,90,0,76,23,24,0,0,5,15.100,38.688,34.400,11.712,service/packet worker ranking
90CYE_DKS,90CYE03_19_DKS.PZU,0x613C,packet_service_candidate,11.186,high,state_update_worker,3,2,1,0,39,16,3,3,28,0.514,14.028,26.334,2.835,service/packet worker ranking
90CYE_DKS,90CYE04_19_DKS.PZU,0x613C,packet_service_candidate,11.186,high,state_update_worker,3,2,1,0,39,16,3,3,28,0.514,14.028,26.334,2.835,service/packet worker ranking
90CYE_DKS,90CYE03_19_DKS.PZU,0x7017,packet_service_candidate,11.030,high,dispatcher_or_router,23,22,1,13,17,4,0,0,17,5.475,10.688,18.125,2.263,service/packet worker ranking
90CYE_DKS,90CYE04_19_DKS.PZU,0x7017,packet_service_candidate,11.030,high,dispatcher_or_router,23,22,1,13,17,4,0,0,17,5.475,10.688,18.125,2.263,service/packet worker ranking
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,packet_service_candidate,10.539,high,dispatcher_or_router,33,32,1,20,11,6,3,1,1,5.175,11.262,13.425,5.487,service/packet worker ranking
90CYE_DKS,90CYE04_19_DKS.PZU,0x737C,packet_service_candidate,10.539,high,dispatcher_or_router,33,32,1,20,11,6,3,1,1,5.175,11.262,13.425,5.487,service/packet worker ranking
