file,valid_hex,checksum_status,function_addr,candidate_type,score,confidence,role_candidate,basic_block_count,internal_block_count,incoming_lcalls,call_count,xdata_read_count,xdata_write_count,movc_count,string_refs,cluster_hits,rtos_core_hits,service_flag_hits,secondary_flag_hits,arithmetic_hits,notes
ppkp2001 90cye01.PZU,true,ok,0x9C0F,call_hub_candidate,2,unknown,unknown,1,0,1,7,0,0,0,0,0,0,0,0,0,no_rtos_cluster_hits
ppkp2001 90cye01.PZU,true,ok,0x9C80,xdata_reader_candidate,2,unknown,unknown,1,0,5,0,0,0,0,0,0,0,0,0,6,no_rtos_cluster_hits
ppkp2001 90cye01.PZU,true,ok,0xACF9,xdata_reader_candidate,2,unknown,unknown,1,0,1,0,0,0,0,0,0,0,0,0,2,no_rtos_cluster_hits
ppkp2001 90cye01.PZU,true,ok,0x49D5,xdata_reader_candidate,1,unknown,unknown,1,0,3,0,0,0,0,0,0,0,0,0,0,no_rtos_cluster_hits
ppkp2001 90cye01.PZU,true,ok,0x6B91,xdata_reader_candidate,1,unknown,unknown,1,0,1,0,0,0,0,0,0,0,0,0,0,no_rtos_cluster_hits
ppkp2001 90cye01.PZU,true,ok,0x8F8C,xdata_reader_candidate,1,unknown,unknown,1,0,85,0,0,0,0,0,0,0,0,0,0,no_rtos_cluster_hits
ppkp2001 90cye01.PZU,true,ok,0x90CD,xdata_reader_candidate,1,unknown,unknown,1,0,1,0,0,0,0,0,0,0,0,0,0,no_rtos_cluster_hits
ppkp2001 90cye01.PZU,true,ok,0x90D1,xdata_reader_candidate,1,unknown,unknown,1,0,20,0,0,0,0,0,0,0,0,0,0,no_rtos_cluster_hits
ppkp2001 90cye01.PZU,true,ok,0x9160,xdata_reader_candidate,1,unknown,unknown,1,0,1,0,0,0,0,0,0,0,0,0,0,no_rtos_cluster_hits
ppkp2001 90cye01.PZU,true,ok,0xA3F0,xdata_reader_candidate,1,unknown,unknown,1,0,2,0,0,0,0,0,0,0,0,0,0,no_rtos_cluster_hits
ppkp2012 a01.PZU,false,checksum_error,0x5436,dispatcher_candidate,18,hypothesis,dispatcher_or_router,17,16,2,13,144,39,1,0,138,17,118,0,8,checksum_error_limits_confidence
ppkp2012 a01.PZU,false,checksum_error,0x4358,dispatcher_candidate,17,hypothesis,dispatcher_or_router,27,26,3,13,3,8,0,0,3,1,2,0,8,checksum_error_limits_confidence
