file,branch,code_addr,opcode_hex,mnemonic,operands,length,target_addr,fallthrough_addr,is_reachable,source,confidence
90CYE03_19_DKS.PZU,90CYE_DKS,0x6F4E,90 31 A2,MOV,"DPTR,#0x31A2",3,,0x6F51,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x6F51,E0,MOVX,"A,@DPTR",1,,0x6F52,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x6F52,D2 E0,SETB,0xE0,2,,0x6F54,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x6F54,F0,MOVX,"@DPTR,A",1,,0x6F55,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x6F55,90 00 01,MOV,"DPTR,#0x0001",3,,0x6F58,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x6F58,E0,MOVX,"A,@DPTR",1,,0x6F59,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x6F59,90 31 A3,MOV,"DPTR,#0x31A3",3,,0x6F5C,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x6F5C,F0,MOVX,"@DPTR,A",1,,0x6F5D,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x6F5D,22,RET,,1,,,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x7017,90 36 F7,MOV,"DPTR,#0x36F7",3,,0x701A,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x701A,E0,MOVX,"A,@DPTR",1,,0x701B,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x701B,90 31 BF,MOV,"DPTR,#0x31BF",3,,0x701E,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x701E,12 5A 7F,LCALL,0x5A7F,3,0x5A7F,0x7021,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x7021,E0,MOVX,"A,@DPTR",1,,0x7022,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x7022,70 5E,JNZ,+94,2,0x7082,0x7024,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x7024,90 30 F4,MOV,"DPTR,#0x30F4",3,,0x7027,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x7027,E0,MOVX,"A,@DPTR",1,,0x7028,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x7028,20 E0 58,JB,"0xE0,+88",3,0x7083,0x702B,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x702B,90 30 E9,MOV,"DPTR,#0x30E9",3,,0x702E,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x702E,E0,MOVX,"A,@DPTR",1,,0x702F,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x702F,FA,MOV,"R2,A",1,,0x7030,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x7030,90 30 F3,MOV,"DPTR,#0x30F3",3,,0x7033,True,flow,high
