file,branch,code_addr,dptr_addr,target_addr,evidence_type,confidence
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x826F,0x5434,0x655F,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x8285,0x5360,0x655F,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x8295,0x52C8,0x655F,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x82A3,0x52B9,0x655F,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x82B7,0x7248,0x7551,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x82C3,0x52F8,0x655F,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x82FA,0x5409,0x655F,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x830E,0x724A,0x7551,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x8448,0x444A,0x7FB8,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x8473,0x444A,0x7FC5,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x848C,0x4343,0x7BD2,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x8569,0x32B5,0x604B,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x8573,0x31D2,0x604B,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x85E4,0x46A0,0x7C28,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x85FB,0x46A0,0x7C21,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x8621,0x46A0,0x7C29,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x863A,0x46A0,0x7C21,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x8655,0xFF80,0x7551,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x8669,0x3159,0x604A,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x8679,0x32B5,0x604A,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x8683,0x3159,0x604A,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x868B,0x32B5,0x604A,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x86AE,0x7248,0x7551,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x86EA,0x7248,0x7551,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x872D,0x7248,0x7551,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x8753,0x31DD,0x6083,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x8764,0x31DD,0x6083,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x8775,0x724E,0x7551,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x877F,0x31DD,0x6083,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x878C,0x316A,0x604A,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x87AD,0x724A,0x7551,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x87B8,0x312D,0x604B,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x87C6,0x312D,0x604B,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x87E0,0x316A,0x604A,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x883F,0x8845,0x873C,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x8845,0x724A,0x7551,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x88B1,0x724B,0x7551,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x88C3,0x724A,0x7551,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x88D5,0x724B,0x7551,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x88ED,0x724A,0x7551,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x8905,0x316A,0x604A,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x8947,0x724B,0x7551,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x89E2,0x323D,0x7C21,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x8A67,0x724E,0x7551,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x8B1E,0x3292,0x604B,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x8B35,0x724E,0x7551,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x8BC2,0x442A,0x729E,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x8BD2,0x4428,0x72E4,probable_pointer_argument,medium
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x41FE,0x0005,0x9AC2,probable_pointer_argument,medium
